SN,Station,Date,Year,SEASON,Temp_Max,Temp_Min,Temp_Avg
530,Mature forest,08-Feb-14,Two,DRY,NA,NA,NA
531,Mature forest,09-Feb-14,Two,DRY,NA,NA,NA
532,Mature forest,10-Feb-14,Two,DRY,NA,NA,NA
533,Mature forest,11-Feb-14,Two,DRY,NA,NA,NA
534,Mature forest,12-Feb-14,Two,DRY,NA,NA,NA
535,Mature forest,13-Feb-14,Two,DRY,NA,NA,NA
536,Mature forest,14-Feb-14,Two,DRY,NA,NA,NA
537,Mature forest,15-Feb-14,Two,DRY,NA,NA,NA
538,Mature forest,16-Feb-14,Two,DRY,NA,NA,NA
539,Mature forest,17-Feb-14,Two,DRY,NA,NA,NA
540,Mature forest,18-Feb-14,Two,DRY,NA,NA,NA
541,Mature forest,19-Feb-14,Two,DRY,NA,NA,NA
542,Mature forest,20-Feb-14,Two,DRY,NA,NA,NA
543,Mature forest,21-Feb-14,Two,DRY,NA,NA,NA
544,Mature forest,22-Feb-14,Two,DRY,NA,NA,NA
545,Mature forest,23-Feb-14,Two,DRY,NA,NA,NA
546,Mature forest,24-Feb-14,Two,DRY,NA,NA,NA
547,Mature forest,25-Feb-14,Two,DRY,NA,NA,NA
548,Mature forest,26-Feb-14,Two,DRY,NA,NA,NA
549,Mature forest,27-Feb-14,Two,DRY,NA,NA,NA
550,Mature forest,28-Feb-14,Two,DRY,NA,NA,NA
551,Mature forest,01-Mar-14,Two,DRY,NA,NA,NA
552,Mature forest,02-Mar-14,Two,DRY,NA,NA,NA
553,Mature forest,03-Mar-14,Two,DRY,NA,NA,NA
554,Mature forest,04-Mar-14,Two,DRY,NA,NA,NA
555,Mature forest,05-Mar-14,Two,DRY,NA,NA,NA
556,Mature forest,06-Mar-14,Two,DRY,NA,NA,NA
557,Mature forest,07-Mar-14,Two,DRY,20.865,12.582,16.007
558,Mature forest,08-Mar-14,Two,DRY,20.96,9.78,14.642
559,Mature forest,09-Mar-14,Two,DRY,21.342,10.614,15.016
560,Mature forest,10-Mar-14,Two,DRY,21.246,10.785,15.405
561,Mature forest,11-Mar-14,Two,DRY,21.175,11.662,15.816
562,Mature forest,12-Mar-14,Two,DRY,20.65,10.59,15.202
563,Mature forest,13-Mar-14,Two,DRY,21.7,10.149,14.776
564,Mature forest,14-Mar-14,Two,DRY,21.342,9.928,15.017
565,Mature forest,15-Mar-14,Two,DRY,21.318,11.321,15.822
566,Mature forest,16-Mar-14,Two,DRY,21.915,12.122,16.026
567,Mature forest,17-Mar-14,Two,DRY,21.819,11.783,15.998
568,Mature forest,18-Mar-14,Two,DRY,22.393,10.345,15.528
569,Mature forest,19-Mar-14,Two,DRY,22.298,9.188,15.088
570,Mature forest,20-Mar-14,Two,DRY,20.746,9.632,14.94
571,Mature forest,21-Mar-14,Two,DRY,19.651,10.467,14.244
572,Mature forest,22-Mar-14,Two,DRY,14.002,10.516,12.603
573,Mature forest,23-Mar-14,Two,DRY,15.557,10.932,13.315
574,Mature forest,24-Mar-14,Two,DRY,16.129,8.419,12.228
575,Mature forest,25-Mar-14,Two,DRY,18.438,10.222,13.673
576,Mature forest,26-Mar-14,Two,DRY,19.793,11.346,14.731
577,Mature forest,27-Mar-14,Two,DRY,21.199,10.394,15.046
578,Mature forest,28-Mar-14,Two,DRY,21.987,10.492,15.468
579,Mature forest,29-Mar-14,Two,DRY,22.681,11.2,16.172
580,Mature forest,30-Mar-14,Two,DRY,22.944,12.678,17.068
581,Mature forest,31-Mar-14,Two,DRY,23.184,12.34,17.183
582,Mature forest,01-Apr-14,Two,DRY,22.011,12.558,16.767
583,Mature forest,02-Apr-14,Two,DRY,22.25,11.807,16.336
584,Mature forest,03-Apr-14,Two,DRY,21.772,11.005,15.882
585,Mature forest,04-Apr-14,Two,DRY,20.603,11.734,15.832
586,Mature forest,05-Apr-14,Two,DRY,18.58,11.2,14.728
587,Mature forest,06-Apr-14,Two,DRY,19.222,11.224,14.594
588,Mature forest,07-Apr-14,Two,DRY,19.674,9.064,13.918
589,Mature forest,08-Apr-14,Two,DRY,20.365,13.714,16.58
590,Mature forest,09-Apr-14,Two,DRY,22.657,13.233,17.173
591,Mature forest,10-Apr-14,Two,DRY,22.298,12.63,17.24
592,Mature forest,11-Apr-14,Two,DRY,22.393,14.337,17.648
593,Mature forest,12-Apr-14,Two,DRY,22.944,12.485,17.029
594,Mature forest,13-Apr-14,Two,DRY,23.954,13.064,17.796
595,Mature forest,14-Apr-14,Two,DRY,23.472,13.257,17.969
596,Mature forest,15-Apr-14,Two,DRY,23.112,15.461,18.393
597,Mature forest,16-Apr-14,Two,DRY,23.761,13.064,17.689
598,Mature forest,17-Apr-14,Two,DRY,19.508,15.079,15.905
599,Mature forest,18-Apr-14,Two,DRY,24.508,14.314,18.853
600,Mature forest,19-Apr-14,Two,DRY,24.026,14.337,18.578
601,Mature forest,20-Apr-14,Two,DRY,24.992,14.505,19.098
602,Mature forest,21-Apr-14,Two,DRY,24.726,16.511,20.344
603,Mature forest,22-Apr-14,Two,DRY,25.841,17.153,21.112
604,Mature forest,23-Apr-14,Two,DRY,25.55,17.058,20.4
605,Mature forest,24-Apr-14,Two,DRY,24.774,16.082,19.815
606,Mature forest,25-Apr-14,Two,DRY,24.484,15.676,19.675
607,Mature forest,26-Apr-14,Two,DRY,22.25,14.553,18.138
608,Mature forest,27-Apr-14,Two,DRY,23.978,13.714,18.374
609,Mature forest,28-Apr-14,Two,DRY,22.321,15.557,18.056
610,Mature forest,29-Apr-14,Two,DRY,20.293,13.497,16.379
611,Mature forest,30-Apr-14,Two,DRY,21.604,13.064,16.371
612,Open land,01-Feb-14,Two,DRY,32.201,8.419,16.562
613,Open land,02-Feb-14,Two,DRY,32.949,7.192,16.47
614,Open land,03-Feb-14,Two,DRY,31.714,6.864,16.58
615,Open land,04-Feb-14,Two,DRY,32.717,8.568,16.418
616,Open land,05-Feb-14,Two,DRY,31.586,9.139,17.021
617,Open land,06-Feb-14,Two,DRY,31.459,11.346,17.781
618,Open land,07-Feb-14,Two,DRY,31.408,7.945,16.947
619,Open land,08-Feb-14,Two,DRY,30.596,9.829,17.027
620,Open land,09-Feb-14,Two,DRY,30.571,7.444,16.061
621,Open land,10-Feb-14,Two,DRY,31.23,7.015,16.538
622,Open land,11-Feb-14,Two,DRY,30.167,7.293,16.217
623,Open land,12-Feb-14,Two,DRY,28.766,11.127,17.098
624,Open land,13-Feb-14,Two,DRY,31.103,8.344,16.795
625,Open land,14-Feb-14,Two,DRY,30.697,10.247,17.16
626,Open land,15-Feb-14,Two,DRY,32.898,11.419,18.164
627,Open land,16-Feb-14,Two,DRY,32.175,11.175,18.558
628,Open land,17-Feb-14,Two,DRY,29.215,11.953,18.425
629,Open land,18-Feb-14,Two,DRY,26.109,12.413,17.262
630,Open land,19-Feb-14,Two,DRY,28.444,7.845,14.993
631,Open land,20-Feb-14,Two,DRY,25.016,6.153,13.028
632,Open land,21-Feb-14,Two,DRY,28.419,10.687,15.828
633,Open land,22-Feb-14,Two,DRY,32.33,10.712,17.874
634,Open land,23-Feb-14,Two,DRY,33.365,9.829,18.548
635,Open land,24-Feb-14,Two,DRY,34.572,11.589,19.677
636,Open land,25-Feb-14,Two,DRY,32.665,11.2,18.848
637,Open land,26-Feb-14,Two,DRY,32.846,9.632,19.089
638,Open land,27-Feb-14,Two,DRY,32.768,13.064,20.282
639,Open land,28-Feb-14,Two,DRY,34.045,12.05,20.409
640,Open land,01-Mar-14,Two,DRY,35.022,10.369,20.507
641,Open land,02-Mar-14,Two,DRY,34.36,12.171,20.727
642,Open land,03-Mar-14,Two,DRY,34.651,12.871,20.953
643,Open land,04-Mar-14,Two,DRY,36.444,12.413,20.827
644,Open land,05-Mar-14,Two,DRY,34.413,12.823,20.386
645,Open land,06-Mar-14,Two,DRY,35.235,12.992,20.607
646,Open land,07-Mar-14,Two,DRY,34.308,12.944,20.744
647,Open land,08-Mar-14,Two,DRY,34.413,12.558,21.423
648,Open land,09-Mar-14,Two,DRY,36.335,13.377,21.317
649,Open land,10-Mar-14,Two,DRY,34.916,10.956,20.823
650,Open land,11-Mar-14,Two,DRY,34.624,15.055,21.562
651,Open land,12-Mar-14,Two,DRY,34.255,12.268,21.288
652,Open land,13-Mar-14,Two,DRY,36.987,11.273,21.232
653,Open land,14-Mar-14,Two,DRY,35.342,12.751,21.432
654,Open land,15-Mar-14,Two,DRY,35.049,15.151,22.151
655,Open land,16-Mar-14,Two,DRY,37.618,15.342,22.054
656,Open land,17-Mar-14,Two,DRY,36.254,14.96,22.207
657,Open land,18-Mar-14,Two,DRY,35.958,15.533,23.045
658,Open land,19-Mar-14,Two,DRY,35.716,13.185,22.196
659,Open land,20-Mar-14,Two,DRY,34.995,13.954,21.599
660,Open land,21-Mar-14,Two,DRY,37.327,12.437,19.097
661,Open land,22-Mar-14,Two,DRY,NA,NA,NA
662,Open land,23-Mar-14,Two,DRY,NA,NA,NA
663,Open land,24-Mar-14,Two,DRY,NA,NA,NA
664,Open land,25-Mar-14,Two,DRY,NA,NA,NA
665,Open land,26-Mar-14,Two,DRY,NA,NA,NA
666,Open land,27-Mar-14,Two,DRY,NA,NA,NA
667,Open land,28-Mar-14,Two,DRY,NA,NA,NA
668,Open land,29-Mar-14,Two,DRY,NA,NA,NA
669,Open land,30-Mar-14,Two,DRY,NA,NA,NA
670,Open land,31-Mar-14,Two,DRY,NA,NA,NA
671,Open land,01-Apr-14,Two,DRY,NA,NA,NA
672,Open land,02-Apr-14,Two,DRY,NA,NA,NA
673,Open land,03-Apr-14,Two,DRY,NA,NA,NA
674,Open land,04-Apr-14,Two,DRY,NA,NA,NA
675,Open land,05-Apr-14,Two,DRY,NA,NA,NA
676,Open land,06-Apr-14,Two,DRY,NA,NA,NA
677,Open land,07-Apr-14,Two,DRY,34.889,15.7,23.72
678,Open land,08-Apr-14,Two,DRY,36.389,15.485,21.788
679,Open land,09-Apr-14,Two,DRY,38.421,14.194,22.392
680,Open land,10-Apr-14,Two,DRY,37.535,13.81,22.857
681,Open land,11-Apr-14,Two,DRY,37.398,14.218,23.129
682,Open land,12-Apr-14,Two,DRY,40.4,14.505,23.376
683,Open land,13-Apr-14,Two,DRY,40,15.891,24.104
684,Open land,14-Apr-14,Two,DRY,39.29,14.29,21.078
685,Open land,15-Apr-14,Two,DRY,33.757,19.46,26.184
686,Open land,16-Apr-14,Two,DRY,33.365,15.891,23.299
687,Open land,17-Apr-14,Two,DRY,37.042,17.986,24.852
688,Open land,18-Apr-14,Two,DRY,38.616,16.344,24.867
689,Open land,19-Apr-14,Two,DRY,37.206,16.106,24.388
690,Open land,20-Apr-14,Two,DRY,38.17,17.724,25.334
691,Open land,21-Apr-14,Two,DRY,39.036,18.176,25.045
692,Open land,22-Apr-14,Two,DRY,37.728,17.51,25.083
693,Open land,23-Apr-14,Two,DRY,38.616,17.249,25.097
694,Open land,24-Apr-14,Two,DRY,36.119,17.701,24.99
695,Open land,25-Apr-14,Two,DRY,39.318,15.366,23.818
696,Open land,26-Apr-14,Two,DRY,34.995,16.725,23.497
697,Open land,27-Apr-14,Two,DRY,36.905,15.676,23.766
698,Open land,28-Apr-14,Two,DRY,30.091,14.745,21.15
699,Open land,29-Apr-14,Two,DRY,30.52,13.281,19.05
700,Open land,30-Apr-14,Two,DRY,30.95,13.714,20.048
701,Regenerating forest,01-Feb-14,Two,DRY,28.419,9.188,16.927
702,Regenerating forest,02-Feb-14,Two,DRY,28.766,8.668,16.578
703,Regenerating forest,03-Feb-14,Two,DRY,28.692,8.643,16.761
704,Regenerating forest,04-Feb-14,Two,DRY,27.899,9.829,16.364
705,Regenerating forest,05-Feb-14,Two,DRY,26.769,10.124,16.615
706,Regenerating forest,06-Feb-14,Two,DRY,26.5,12.92,17.353
707,Regenerating forest,07-Feb-14,Two,DRY,26.378,8.519,16.385
708,Regenerating forest,08-Feb-14,Two,DRY,25.793,10.785,16.51
709,Regenerating forest,09-Feb-14,Two,DRY,25.623,7.82,15.492
710,Regenerating forest,10-Feb-14,Two,DRY,26.304,7.494,15.843
711,Regenerating forest,11-Feb-14,Two,DRY,25.355,8.295,15.572
712,Regenerating forest,12-Feb-14,Two,DRY,25.793,12.025,16.414
713,Regenerating forest,13-Feb-14,Two,DRY,25.963,8.494,16.302
714,Regenerating forest,14-Feb-14,Two,DRY,26.304,10.956,16.701
715,Regenerating forest,15-Feb-14,Two,DRY,26.867,12.485,17.614
716,Regenerating forest,16-Feb-14,Two,DRY,27.899,12.34,17.905
717,Regenerating forest,17-Feb-14,Two,DRY,26.646,13.016,17.887
718,Regenerating forest,18-Feb-14,Two,DRY,23.569,13.04,16.989
719,Regenerating forest,19-Feb-14,Two,DRY,26.744,7.87,15.212
720,Regenerating forest,20-Feb-14,Two,DRY,24.653,6.281,13.071
721,Regenerating forest,21-Feb-14,Two,DRY,25.453,10.907,15.678
722,Regenerating forest,22-Feb-14,Two,DRY,28.617,11.443,17.727
723,Regenerating forest,23-Feb-14,Two,DRY,30.9,10.443,18.397
724,Regenerating forest,24-Feb-14,Two,DRY,29.389,12.823,19.413
725,Regenerating forest,25-Feb-14,Two,DRY,30.117,12.098,18.959
726,Regenerating forest,26-Feb-14,Two,DRY,30.016,9.731,18.654
727,Regenerating forest,27-Feb-14,Two,DRY,30.773,14.721,20.105
728,Regenerating forest,28-Feb-14,Two,DRY,32.587,13.112,20.313
729,Regenerating forest,01-Mar-14,Two,DRY,NA,NA,NA
730,Regenerating forest,02-Mar-14,Two,DRY,NA,NA,NA
731,Regenerating forest,03-Mar-14,Two,DRY,NA,NA,NA
732,Regenerating forest,04-Mar-14,Two,DRY,NA,NA,NA
733,Regenerating forest,05-Mar-14,Two,DRY,NA,NA,NA
734,Regenerating forest,06-Mar-14,Two,DRY,NA,NA,NA
735,Regenerating forest,07-Mar-14,Two,DRY,NA,NA,NA
736,Regenerating forest,08-Mar-14,Two,DRY,NA,NA,NA
737,Regenerating forest,09-Mar-14,Two,DRY,NA,NA,NA
738,Regenerating forest,10-Mar-14,Two,DRY,NA,NA,NA
739,Regenerating forest,11-Mar-14,Two,DRY,NA,NA,NA
740,Regenerating forest,12-Mar-14,Two,DRY,NA,NA,NA
741,Regenerating forest,13-Mar-14,Two,DRY,NA,NA,NA
742,Regenerating forest,14-Mar-14,Two,DRY,NA,NA,NA
743,Regenerating forest,15-Mar-14,Two,DRY,NA,NA,NA
744,Regenerating forest,16-Mar-14,Two,DRY,NA,NA,NA
745,Regenerating forest,17-Mar-14,Two,DRY,NA,NA,NA
746,Regenerating forest,18-Mar-14,Two,DRY,NA,NA,NA
747,Regenerating forest,19-Mar-14,Two,DRY,NA,NA,NA
748,Regenerating forest,20-Mar-14,Two,DRY,NA,NA,NA
749,Regenerating forest,21-Mar-14,Two,DRY,NA,NA,NA
750,Regenerating forest,22-Mar-14,Two,DRY,NA,NA,NA
751,Regenerating forest,23-Mar-14,Two,DRY,NA,NA,NA
752,Regenerating forest,24-Mar-14,Two,DRY,NA,NA,NA
753,Regenerating forest,25-Mar-14,Two,DRY,NA,NA,NA
754,Regenerating forest,26-Mar-14,Two,DRY,NA,NA,NA
755,Regenerating forest,27-Mar-14,Two,DRY,NA,NA,NA
756,Regenerating forest,28-Mar-14,Two,DRY,NA,NA,NA
757,Regenerating forest,29-Mar-14,Two,DRY,NA,NA,NA
758,Regenerating forest,30-Mar-14,Two,DRY,NA,NA,NA
759,Regenerating forest,31-Mar-14,Two,DRY,NA,NA,NA
760,Regenerating forest,01-Apr-14,Two,DRY,NA,NA,NA
761,Regenerating forest,02-Apr-14,Two,DRY,NA,NA,NA
762,Regenerating forest,03-Apr-14,Two,DRY,NA,NA,NA
763,Regenerating forest,04-Apr-14,Two,DRY,NA,NA,NA
764,Regenerating forest,05-Apr-14,Two,DRY,NA,NA,NA
765,Regenerating forest,06-Apr-14,Two,DRY,NA,NA,NA
766,Regenerating forest,07-Apr-14,Two,DRY,NA,NA,NA
767,Regenerating forest,08-Apr-14,Two,DRY,NA,NA,NA
768,Regenerating forest,09-Apr-14,Two,DRY,NA,NA,NA
769,Regenerating forest,10-Apr-14,Two,DRY,NA,NA,NA
770,Regenerating forest,11-Apr-14,Two,DRY,NA,NA,NA
771,Regenerating forest,12-Apr-14,Two,DRY,NA,NA,NA
772,Regenerating forest,13-Apr-14,Two,DRY,NA,NA,NA
773,Regenerating forest,14-Apr-14,Two,DRY,NA,NA,NA
774,Regenerating forest,15-Apr-14,Two,DRY,NA,NA,NA
775,Regenerating forest,16-Apr-14,Two,DRY,NA,NA,NA
776,Regenerating forest,17-Apr-14,Two,DRY,NA,NA,NA
777,Regenerating forest,18-Apr-14,Two,DRY,NA,NA,NA
778,Regenerating forest,19-Apr-14,Two,DRY,NA,NA,NA
779,Regenerating forest,20-Apr-14,Two,DRY,NA,NA,NA
780,Regenerating forest,21-Apr-14,Two,DRY,34.836,18.747,26.744
781,Regenerating forest,22-Apr-14,Two,DRY,35.262,17.653,24.522
782,Regenerating forest,23-Apr-14,Two,DRY,34.942,18.01,24.388
783,Regenerating forest,24-Apr-14,Two,DRY,34.413,17.748,24.446
784,Regenerating forest,25-Apr-14,Two,DRY,35.475,15.986,23.028
785,Regenerating forest,26-Apr-14,Two,DRY,32.021,18.485,23.388
786,Regenerating forest,27-Apr-14,Two,DRY,34.097,15.796,23.302
787,Regenerating forest,28-Apr-14,Two,DRY,29.966,15.342,21.41
788,Regenerating forest,29-Apr-14,Two,DRY,29.09,13.546,18.913
789,Regenerating forest,30-Apr-14,Two,DRY,28.891,13.714,19.571
790,Mature forest,01-Jun-14,Two,WET,23.208,18.01,19.881
791,Mature forest,02-Jun-14,Two,WET,22.896,17.391,19.472
792,Mature forest,03-Jun-14,Two,WET,24.339,17.772,20.656
793,Mature forest,04-Jun-14,Two,WET,24.895,18.247,21.203
794,Mature forest,05-Jun-14,Two,WET,23.905,18.176,20.25
795,Mature forest,06-Jun-14,Two,WET,22.776,17.082,18.912
796,Mature forest,07-Jun-14,Two,WET,21.604,18.176,19.493
797,Mature forest,08-Jun-14,Two,WET,20.484,17.938,18.905
798,Mature forest,09-Jun-14,Two,WET,19.698,17.796,18.585
799,Mature forest,10-Jun-14,Two,WET,20.865,18.057,19.278
800,Mature forest,11-Jun-14,Two,WET,22.034,18.461,19.523
801,Mature forest,12-Jun-14,Two,WET,20.15,18.247,18.932
802,Mature forest,13-Jun-14,Two,WET,19.532,18.129,18.598
803,Mature forest,14-Jun-14,Two,WET,19.77,17.629,18.155
804,Mature forest,15-Jun-14,Two,WET,19.888,17.106,18.29
805,Mature forest,16-Jun-14,Two,WET,20.889,17.106,18.563
806,Mature forest,17-Jun-14,Two,WET,20.198,17.034,18.606
807,Mature forest,18-Jun-14,Two,WET,20.103,17.938,18.716
808,Mature forest,19-Jun-14,Two,WET,19.722,18.057,18.645
809,Mature forest,20-Jun-14,Two,WET,20.388,17.368,18.641
810,Mature forest,21-Jun-14,Two,WET,21.151,17.986,19.331
811,Mature forest,22-Jun-14,Two,WET,21.819,18.319,19.506
812,Mature forest,23-Jun-14,Two,WET,21.199,17.772,19.546
813,Mature forest,24-Jun-14,Two,WET,21.079,18.461,19.266
814,Mature forest,25-Jun-14,Two,WET,20.889,18.271,19.172
815,Mature forest,26-Jun-14,Two,WET,20.507,17.891,19.006
816,Mature forest,27-Jun-14,Two,WET,21.676,17.772,19.314
817,Mature forest,28-Jun-14,Two,WET,21.39,17.534,19.132
818,Mature forest,29-Jun-14,Two,WET,19.318,17.748,18.773
819,Mature forest,30-Jun-14,Two,WET,19.246,17.938,18.576
820,Mature forest,01-Jul-14,Two,WET,20.293,17.439,18.667
821,Mature forest,02-Jul-14,Two,WET,19.698,18.271,18.899
822,Mature forest,03-Jul-14,Two,WET,20.174,18.176,18.727
823,Mature forest,04-Jul-14,Two,WET,20.436,17.558,18.838
824,Mature forest,05-Jul-14,Two,WET,21.079,17.986,19.278
825,Mature forest,06-Jul-14,Two,WET,20.579,18.461,19.313
826,Mature forest,07-Jul-14,Two,WET,20.031,18.224,18.877
827,Mature forest,08-Jul-14,Two,WET,20.293,18.39,19.336
828,Mature forest,09-Jul-14,Two,WET,20.388,18.295,19.069
829,Mature forest,10-Jul-14,Two,WET,20.388,18.033,19.001
830,Mature forest,11-Jul-14,Two,WET,20.841,17.867,19.152
831,Mature forest,12-Jul-14,Two,WET,19.389,17.748,18.83
832,Mature forest,13-Jul-14,Two,WET,20.055,17.011,18.589
833,Mature forest,14-Jul-14,Two,WET,20.174,17.32,18.604
834,Mature forest,15-Jul-14,Two,WET,20.007,17.106,18.428
835,Mature forest,16-Jul-14,Two,WET,19.865,16.654,18.069
836,Mature forest,17-Jul-14,Two,WET,20.674,17.486,18.493
837,Mature forest,18-Jul-14,Two,WET,20.103,18.176,18.964
838,Mature forest,19-Jul-14,Two,WET,19.936,17.843,18.594
839,Mature forest,20-Jul-14,Two,WET,19.365,18.057,18.499
840,Mature forest,21-Jul-14,Two,WET,18.057,17.225,17.534
841,Mature forest,22-Jul-14,Two,WET,18.152,16.677,17.377
842,Mature forest,23-Jul-14,Two,WET,18.747,15.843,17.424
843,Mature forest,24-Jul-14,Two,WET,19.722,16.963,18.205
844,Mature forest,25-Jul-14,Two,WET,19.912,17.153,18.462
845,Mature forest,26-Jul-14,Two,WET,19.532,17.558,18.528
846,Mature forest,27-Jul-14,Two,WET,19.294,17.415,18.129
847,Mature forest,28-Jul-14,Two,WET,19.603,17.106,18.093
848,Mature forest,29-Jul-14,Two,WET,19.484,17.225,18.288
849,Mature forest,30-Jul-14,Two,WET,19.888,17.201,18.557
850,Mature forest,31-Jul-14,Two,WET,20.388,16.677,18.333
851,Mature forest,01-Aug-14,Two,WET,21.127,17.843,19.187
852,Mature forest,02-Aug-14,Two,WET,20.269,18.414,19.172
853,Mature forest,03-Aug-14,Two,WET,19.888,17.653,18.653
854,Mature forest,04-Aug-14,Two,WET,19.698,17.605,18.576
855,Mature forest,05-Aug-14,Two,WET,20.46,18.2,19.032
856,Mature forest,06-Aug-14,Two,WET,20.341,18.366,19.07
857,Mature forest,07-Aug-14,Two,WET,19.817,18.152,18.769
858,Mature forest,08-Aug-14,Two,WET,19.888,17.986,18.674
859,Mature forest,09-Aug-14,Two,WET,19.841,17.558,18.646
860,Mature forest,10-Aug-14,Two,WET,19.365,17.582,18.504
861,Mature forest,11-Aug-14,Two,WET,19.912,18.01,18.877
862,Mature forest,12-Aug-14,Two,WET,19.841,17.724,18.807
863,Mature forest,13-Aug-14,Two,WET,19.08,17.13,18.33
864,Mature forest,14-Aug-14,Two,WET,17.201,16.558,16.913
865,Mature forest,15-Aug-14,Two,WET,18.675,17.034,17.675
866,Mature forest,16-Aug-14,Two,WET,18.961,17.558,18.056
867,Mature forest,17-Aug-14,Two,WET,19.27,17.13,18.059
868,Mature forest,18-Aug-14,Two,WET,19.199,16.677,18.031
869,Mature forest,19-Aug-14,Two,WET,19.175,17.843,18.338
870,Mature forest,20-Aug-14,Two,WET,19.389,17.534,18.063
871,Mature forest,21-Aug-14,Two,WET,19.579,16.63,18.004
872,Mature forest,22-Aug-14,Two,WET,19.532,17.058,18.069
873,Mature forest,23-Aug-14,Two,WET,20.246,17.653,18.687
874,Mature forest,24-Aug-14,Two,WET,20.674,17.391,18.598
875,Mature forest,25-Aug-14,Two,WET,19.532,16.606,18.119
876,Mature forest,26-Aug-14,Two,WET,19.27,16.606,17.921
877,Mature forest,27-Aug-14,Two,WET,19.246,16.034,17.767
878,Mature forest,28-Aug-14,Two,WET,19.746,16.368,18.026
879,Mature forest,29-Aug-14,Two,WET,18.675,16.272,17.173
880,Mature forest,30-Aug-14,Two,WET,18.699,16.701,17.488
881,Mature forest,31-Aug-14,Two,WET,19.532,16.534,17.939
882,Open land,01-Jun-14,Two,WET,34.969,17.201,22.848
883,Open land,02-Jun-14,Two,WET,39.065,16.582,23.096
884,Open land,03-Jun-14,Two,WET,39.886,17.582,24.474
885,Open land,04-Jun-14,Two,WET,40.66,18.01,25.25
886,Open land,05-Jun-14,Two,WET,37.866,17.415,22.433
887,Open land,06-Jun-14,Two,WET,35.422,17.249,21.691
888,Open land,07-Jun-14,Two,WET,33.313,17.32,22.489
889,Open land,08-Jun-14,Two,WET,30.95,17.819,20.244
890,Open land,09-Jun-14,Two,WET,31.026,16.725,21.05
891,Open land,10-Jun-14,Two,WET,34.889,17.938,22.333
892,Open land,11-Jun-14,Two,WET,32.639,18.2,21.689
893,Open land,12-Jun-14,Two,WET,32.073,18.152,20.765
894,Open land,13-Jun-14,Two,WET,29.515,18.247,20.312
895,Open land,14-Jun-14,Two,WET,27.407,17.677,19.083
896,Open land,15-Jun-14,Two,WET,29.765,16.558,20.284
897,Open land,16-Jun-14,Two,WET,33.626,16.582,20.445
898,Open land,17-Jun-14,Two,WET,29.941,18.01,21.409
899,Open land,18-Jun-14,Two,WET,32.717,17.938,19.843
900,Open land,19-Jun-14,Two,WET,33.548,17.843,21.033
901,Open land,20-Jun-14,Two,WET,33.73,17.344,21.502
902,Open land,21-Jun-14,Two,WET,33.783,18.057,22.733
903,Open land,22-Jun-14,Two,WET,35.395,18.176,23.226
904,Open land,23-Jun-14,Two,WET,33.183,16.796,23.372
905,Open land,24-Jun-14,Two,WET,33.209,17.915,20.873
906,Open land,25-Jun-14,Two,WET,32.665,18.105,21.491
907,Open land,26-Jun-14,Two,WET,31.868,17.249,21.162
908,Open land,27-Jun-14,Two,WET,34.15,17.296,22.859
909,Open land,28-Jun-14,Two,WET,34.757,17.058,22.931
910,Open land,29-Jun-14,Two,WET,25.089,18.152,20.309
911,Open land,30-Jun-14,Two,WET,24.243,17.558,19.462
912,Open land,01-Jul-14,Two,WET,32.278,16.677,21.444
913,Open land,02-Jul-14,Two,WET,26.94,18.366,21.239
914,Open land,03-Jul-14,Two,WET,31.586,17.796,20.651
915,Open land,04-Jul-14,Two,WET,34.334,16.677,21.958
916,Open land,05-Jul-14,Two,WET,33.704,18.295,22.495
917,Open land,06-Jul-14,Two,WET,36.281,18.628,21.889
918,Open land,07-Jul-14,Two,WET,28.345,18.057,21.187
919,Open land,08-Jul-14,Two,WET,27.284,17.701,20.237
920,Open land,09-Jul-14,Two,WET,35.049,18.2,21.53
921,Open land,10-Jul-14,Two,WET,32.665,17.938,22.71
922,Open land,11-Jul-14,Two,WET,34.757,18.319,22.818
923,Open land,12-Jul-14,Two,WET,28.048,17.796,20.161
924,Open land,13-Jul-14,Two,WET,35.102,16.058,21.579
925,Open land,14-Jul-14,Two,WET,30.697,17.344,21.115
926,Open land,15-Jul-14,Two,WET,32.381,17.034,20.814
927,Open land,16-Jul-14,Two,WET,30.016,15.915,20.301
928,Open land,17-Jul-14,Two,WET,36.633,17.558,21.432
929,Open land,18-Jul-14,Two,WET,27.899,18.01,20.453
930,Open land,19-Jul-14,Two,WET,25.866,17.177,19.803
931,Open land,20-Jul-14,Two,WET,26.451,17.653,19.695
932,Open land,21-Jul-14,Two,WET,20.46,17.177,18.051
933,Open land,22-Jul-14,Two,WET,25.113,15.843,18.947
934,Open land,23-Jul-14,Two,WET,28.444,14.936,19.358
935,Open land,24-Jul-14,Two,WET,34.255,15.676,21.402
936,Open land,25-Jul-14,Two,WET,32.665,16.915,20.247
937,Open land,26-Jul-14,Two,WET,35.049,16.439,20.967
938,Open land,27-Jul-14,Two,WET,26.5,16.487,19.104
939,Open land,28-Jul-14,Two,WET,31.561,16.082,19.594
940,Open land,29-Jul-14,Two,WET,36.851,16.939,21.708
941,Open land,30-Jul-14,Two,WET,29.59,16.415,20.129
942,Open land,31-Jul-14,Two,WET,35.395,16.392,21.358
943,Open land,01-Aug-14,Two,WET,39.658,17.605,23.237
944,Open land,02-Aug-14,Two,WET,30.243,17.938,20.725
